"TypeId","DisplayName","Rarity","ResourceDirectory","DamageType","DamageTypeSource","MaxHitPoints","Attack","Defense","MagicResistance","AttackIntervalSeconds","EffectiveAttackIntervalSeconds","MoveSpeedMetresPerSecond","LifeDeduct","RawMedianDps","WinsorizedMedianDps","RawMedianTtdSeconds","WinsorizedMedianTtdSeconds","OutputReference","DefenseReference","PanelPower","PanelModelStatus","AbilityModelKind","OutputScenarioLow","OutputScenarioMain","OutputScenarioHigh","DefenseScenarioMain","EquivalentEntityContributionLow","EquivalentEntityContribution","EquivalentEntityContributionHigh","AbilityPowerMultiplier","ContinuousPower","AbilityEvidence","RiskFlags","ScenarioEventCount","ScenarioEventTimesSeconds","ScenarioAttackCount","ScenarioSpecialAttackCount","RarityMedianPower","IsotonicRarityMedianPower","CompressionAlpha","RarityBaseCost","WithinTierFactor","RawCostBeforeRounding","FinalBaseCost","R1InitialCost","R1CalibrationKappa","R1CalibratedRawCost","Elite1EntityCount","Elite1TotalPower","Elite1TotalCost","Elite1PowerPerCostRatio","Elite2ResourceDirectory","Elite2ResourceSource","Elite2PanelPower","Elite2ContinuousPowerPerBody","Elite2PanelPowerStatus","Elite2TotalPower","Elite2TotalCost","Elite2PowerPerCostRatio","Elite3ResourceDirectory","Elite3ResourceSource","Elite3PanelPower","Elite3ContinuousPowerPerBody","Elite3PanelPowerStatus","Elite3TotalPower","Elite3TotalCost","Elite3PowerPerCostRatio","EliteEfficiencyRisk"
"1001","大鲍勃","5","1001_bigbo","Physical","Staging","22000","1900","800","30","6.0","3.00","0.5","1","533.33333333333333333333333333","533.333333333333","954.20","815.23","150","51.1","7.53153261127298","BaseOrdinaryCombat","None","1","1","1","1","0","0","0","1","7.53153261127298","No quantified ability scenario; base panel only.","","0","",,,"3.90137157320436","3.90137157320436","0.430661245919345","23.0852726693106","1.35","31.165118103569310","31",,,,"2","15.06306522254596","62","0.2429526648797735483870967742","1001_bigbo_2","Dedicated","7.92670928926726","7.92670928926726","DedicatedPanelPower","23.78012786780178","93","0.2557002996537825806451612903","1001_bigbo_2","InheritedE2","7.92670928926726","7.92670928926726","InheritedE2PanelPower","39.63354644633630","155","0.2557002996537825806451612903","E2 dedicated variant efficiency differs from E0 by +5.24696231684359950078001914%; C0 is unchanged."
"1006","重装防御者","3","1006_shield","Physical","Staging","6000","600","800","0","2.6","1.30","0.75","1","230.76923076923076923076923077","230.769230769231","260.00","260","150","51.1","2.79781855196267","BaseOrdinaryCombat","None","1","1","1","1","0","0","0","1","2.79781855196267","No quantified ability scenario; base panel only.","","0","",,,"0.8952517621759425","0.8952517621759425","0.430661245919345","12.246874749021","1.35","16.53328091117835","17",,,,"2","5.59563710392534","34","0.1645775618801570588235294118","1006_shield_2","Dedicated","3.62929190712214","3.62929190712214","DedicatedPanelPower","10.88787572136642","51","0.2134877592424788235294117647","1006_shield_3","Dedicated","7.5676552770785","7.5676552770785","DedicatedPanelPower","37.8382763853925","85","0.4451561927693235294117647059","E2 dedicated variant efficiency differs from E0 by +29.71863041569266014124914807%; C0 is unchanged. | E3 dedicated variant efficiency differs from E0 by +170.48413385384799346943645024%; C0 is unchanged."
"1008","幽灵","1","1008_ghost","None","Staging","2300","100","120","35","1.0","0.50","1.2","1",,,,,,,,"PathUnit","PathPressure","1","1","1","1","0.5500000000000000000000000000","0.5500000000000000000000000000","0.5500000000000000000000000000","1","0.5500000000000000000000000000","BONDS: no ordinary attack, moves directly toward the opposing home, unblockable. Formula: normalized LifeDeduct * normalized move speed * 20-second survival fraction.","Route length and contact timing are not confirmed.","0","",,,"0.152257338591281","0.152257338591281","0.430661245919345","5.71069212182798","1.35","7.7094343644677730","4","8","0.49","3.92","2","1.1000000000000000000000000000","8","0.1375000000000000000000000000","1008_ghost","InheritedE0",,"0.5500000000000000000000000000","InheritedE0ContinuousPowerNoPanelPower","1.6500000000000000000000000000","12","0.1375000000000000000000000000","1008_ghost","InheritedE2",,"0.5500000000000000000000000000","InheritedE0ContinuousPowerNoPanelPower","2.7500000000000000000000000000","20","0.1375000000000000000000000000",""
"1014","双持剑士","1","1014_rogue","Physical","Staging","2000","350","100","0","1.2","0.60","1.1","1","83.33333333333333333333333333","83.3333333333333","6.75","7.795","150","51.1","0.29111283733589","BaseOrdinaryCombat","None","1","1","1","1","0","0","0","1","0.29111283733589","No quantified ability scenario; base panel only.","","0","",,,"0.152257338591281","0.152257338591281","0.430661245919345","5.71069212182798","1.35","7.7094343644677730","4","8","0.49","3.92","2","0.58222567467178","8","0.0727782093339725","1014_rogue_2","Dedicated","0.585205735980653","0.585205735980653","DedicatedPanelPower","1.755617207941959","12","0.14630143399516325","1014_rogue_2","InheritedE2","0.585205735980653","0.585205735980653","InheritedE2PanelPower","2.926028679903265","20","0.14630143399516325","E2 dedicated variant efficiency differs from E0 by +101.02367911224559438781405336%; C0 is unchanged."
"1017","御4","5","1017_defdrn","None","Staging","4000","0","150","20","2.0","1.00","0.8","1",,,,,,,,"UnattackableDrone","SupportAura20Seconds","1","1","1","1","0.79284291400159","2.37852874200477","3.96421457000795","1","2.37852874200477","BONDS: other allies within radius 2.5 gain DEF +300. Design 5.2: aura sensitivity uses 1/3/5 effective targets; main uses 3.","Actual route, recipients, uptime, stacking and silence timing are not confirmed.","0","",,,"3.90137157320436","3.90137157320436","0.430661245919345","23.0852726693106","0.75","17.313954501982950","17",,,,"2","4.75705748400954","34","0.1399134554120452941176470588","1017_defdrn","InheritedE0",,"2.37852874200477","InheritedE0ContinuousPowerNoPanelPower","7.13558622601431","51","0.1399134554120452941176470588","1017_defdrn","InheritedE2",,"2.37852874200477","InheritedE0ContinuousPowerNoPanelPower","11.89264371002385","85","0.1399134554120452941176470588",""
"1025","寻仇者","4","1025_reveng","Physical","Staging","5000","300","200","50","2.3","1.15","0.65","1","13.043478260869565217391304348","13.1304347826087","23.80","23.8","150","51.1","0.201916566387248","BaseOrdinaryCombat","ThresholdOutput20Seconds","10.5","10.5","10.5","1","0","0","0","3.24037034920393","0.6542844547343053162929034846","BONDS E0: ATK +100% at HP <=50%. Scenario convention: threshold is crossed at the 10-second midpoint.","Actual threshold-crossing time is encounter dependent.","0","",,,"3.444566138663685","3.444566138663685","0.430661245919345","21.8798151219188","0.75","16.409861341439100","16",,,,"2","1.3085689094686106325858069692","32","0.0408927784208940822683064678","1025_reveng_2","Dedicated","1.35566538625735","4.3928579210704098655346113855","DedicatedPanelPower","13.178573763211229596603834156","48","0.2745536200669006165959132116","1025_reveng_2","InheritedE2","1.35566538625735","4.3928579210704098655346113855","InheritedE2PanelPower","21.964289605352049327673056928","80","0.2745536200669006165959132116","E2 dedicated variant efficiency differs from E0 by +571.39879134898302919676744047%; C0 is unchanged. | E2 ability definition from BONDS is not separately remodeled; the E0 ability contribution is reused without an invented numeric modifier."
"1026","幽灵组长","2","1026_aghost","None","Staging","3800","100","350","35","1.0","0.50","1.2","1",,,,,,,,"PathUnit","PathPressure","1","1","1","1","1.3333333333333333333333333333","1.3333333333333333333333333333","1.3333333333333333333333333333","1","1.3333333333333333333333333333","BONDS: no ordinary attack, moves directly toward the opposing home, unblockable. Formula: normalized LifeDeduct * normalized move speed * 20-second survival fraction.","Route length and contact timing are not confirmed.","0","",,,"0.2442674251888774683402701105","0.2442674251888774683402701105","0.430661245919345","6.99999999999999","1.35","9.4499999999999865","9",,,,"2","2.6666666666666666666666666666","18","0.1481481481481481481481481481","1026_aghost","InheritedE0",,"1.3333333333333333333333333333","InheritedE0ContinuousPowerNoPanelPower","3.9999999999999999999999999999","27","0.1481481481481481481481481481","1026_aghost","InheritedE2",,"1.3333333333333333333333333333","InheritedE0ContinuousPowerNoPanelPower","6.6666666666666666666666666665","45","0.1481481481481481481481481481",""
"1031","法术近卫","3","1031_mrogue","Magic","Staging","4000","350","200","50","2.5","1.25","0.75","1","224","224","18.00","18","150","51.1","0.725277462258599","BaseOrdinaryCombat","None","1","1","1","1","0","0","0","1","0.725277462258599","No quantified ability scenario; base panel only.","","0","",,,"0.8952517621759425","0.8952517621759425","0.430661245919345","12.246874749021","0.881323597525571","10.793459712252262157254715991","11",,,,"2","1.450554924517198","22","0.0659343147507817272727272727","1031_mrogue_2","Dedicated","1.25953635636578","1.25953635636578","DedicatedPanelPower","3.77860906909734","33","0.1145033051241618181818181818","1031_mrogue_2","InheritedE2","1.25953635636578","1.25953635636578","InheritedE2PanelPower","6.29768178182890","55","0.1145033051241618181818181818","E2 dedicated variant efficiency differs from E0 by +73.66269075057650396779000791%; C0 is unchanged."
"1039","破阵者","2","1039_breakr","Physical","Staging","3500","410","50","25","1.4","0.70","1.9","1","157.14285714285714285714285714","157.142857142857","10.50","10.5","150","51.1","0.463965718417781","BaseOrdinaryCombat","None","1","1","1","1","0","0","0","1","0.463965718417781","No quantified ability scenario; base panel only.","","0","",,,"0.2442674251888774683402701105","0.2442674251888774683402701105","0.430661245919345","6.99999999999999","1.35","9.4499999999999865","9",,,,"2","0.927931436835562","18","0.0515517464908645555555555556","1039_breakr_2","Dedicated","0.774680878261599","0.774680878261599","DedicatedPanelPower","2.324042634784797","27","0.0860756531401776666666666667","1039_breakr_2","InheritedE2","0.774680878261599","0.774680878261599","InheritedE2PanelPower","3.873404391307995","45","0.0860756531401776666666666667","E2 dedicated variant efficiency differs from E0 by +66.96942198734443546259004932%; C0 is unchanged."
"1042","寒霜","6","1042_frostd","None","Staging","6500","100","600","30","1.0","0.50","0.9","1",,,,,,,,"UnattackableDrone","SupportAura20Seconds","1","1","1","1","0.4142135623731","1.2426406871193","2.0710678118655","1","1.2426406871193","BONDS: enemies within radius 2.5 have additive ASPD -50. After the separate source-interval halving, confirmed base attack speed is 100, so the target attack-rate factor is (100-50)/100=0.5. Aura sensitivity is 1/3/5.","Actual route, affected enemies, uptime, stacking and silence timing are not confirmed.","0","",,,"6.10738456206143050","6.10738456206143050","0.430661245919345","28","0.75","21.00","21",,,,"2","2.4852813742386","42","0.0591733660533","1042_frostd","InheritedE0",,"1.2426406871193","InheritedE0ContinuousPowerNoPanelPower","3.7279220613579","63","0.0591733660533","1042_frostd","InheritedE2",,"1.2426406871193","InheritedE0ContinuousPowerNoPanelPower","6.2132034355965","105","0.0591733660533",""
