"TypeId","DisplayName","Category","CurrentRarity","IsShopCandidate","Regions","ResourceDirectory","DamageType","MaxHitPoints","Attack","Defense","MagicResistance","AttackIntervalSeconds","EffectiveAttackIntervalSeconds","MoveSpeedMetresPerSecond","LifeDeduct","HasElite2","HasElite3"
"1000","猎狗","感染生物","1","True","整合运动","1000_gopro","Physical","820","190","0","20","1.4","0.70","1.9","1","True","True"
"1001","大鲍勃","其他","5","True","整合运动","1001_bigbo","Physical","22000","1900","800","30","6.0","3.00","0.5","1","True","False"
"1006","重装防御者","其他","3","True","整合运动","1006_shield","Physical","6000","600","800","0","2.6","1.30","0.75","1","True","True"
"1007","源石虫","感染生物","1","True","整合运动","1007_slime","Physical","550","130","0","0","1.7","0.85","1.0","1","True","True"
"1008","幽灵","其他","1","True","整合运动","1008_ghost","None","2300","100","120","35","1.0","0.50","1.2","1","False","False"
"1016","磐蟹","感染生物","2","True","","1016_diaman","Physical","3000","300","500","85","2.3","1.15","0.75","1","False","False"
"1017","御4","无人机","4","True","","1017_defdrn","None","4000","0","150","20","2.0","1.00","0.8","1","False","False"
"1021","高能源石虫","感染生物","2","True","整合运动","1021_bslime","Physical","2460","260","0","0","1.7","0.85","1.0","1","True","False"
"1025","寻仇者","其他","3","True","整合运动","1025_reveng","Physical","5000","300","200","50","2.3","1.15","0.65","1","True","False"
"1026","幽灵组长","其他","2","True","整合运动","1026_aghost","None","3800","100","350","35","1.0","0.50","1.2","1","False","False"
"1042","寒霜","无人机","6","True","","1042_frostd","None","6500","100","600","30","1.0","0.50","0.9","1","False","False"
"1043","宿主士兵","宿主","2","True","乌萨斯;整合运动","1043_zomsabr","Physical","2500","250","100","30","1.8","0.90","0.9","1","True","False"
"1044","宿主拾荒者","宿主","4","True","乌萨斯;整合运动","1044_zomstr","Physical","6000","500","130","30","3.0","1.50","0.65","1","True","False"
"1055","西西里人","其他","1","True","叙拉古","1055_ganman","Physical","2700","250","100","10","2.0","1.00","1.0","1","True","False"
"1056","打手","其他","2","True","叙拉古","1056_ganwar","Physical","3200","290","250","0","0.4","0.20","0.95","1","True","False"
"1058","欺凌者","其他","4","True","叙拉古","1058_traink","Physical","16000","800","800","20","3.5","1.75","1.2","1","True","False"
"1061","宿主重装士兵","宿主","5","True","乌萨斯;整合运动","1061_zomshd","Physical","10000","600","800","0","2.6","1.30","0.75","1","True","False"
"1062","狂暴宿主士兵","宿主","5","True","乌萨斯;整合运动","1062_rager","Physical","20000","1000","200","30","1.3","0.65","1.2","1","True","False"
"1077","游击队猎犬","感染生物","2","True","乌萨斯","1077_sotihd","Physical","2900","350","150","20","1.4","0.70","1.9","1","True","False"
"1086","莱塔尼亚叛兵","其他","1","True","莱塔尼亚","1086_ltsodr","Magic","3000","130","130","20","2.0","1.00","1.1","1","True","False"
"1087","冬灵猎犬","其他","1","True","莱塔尼亚","1087_ltwolf","Physical","2800","300","0","20","1.4","0.70","1.9","1","True","False"
"1089","冬灵血巫","其他","5","True","莱塔尼亚","1089_ltlntc","Magic","20000","500","300","50","1.3","0.65","1.5","1","True","False"
"1092","泥岩巨像","造物","5","True","莱塔尼亚","1092_mdgint","Physical","100000","3000","700","30","7.0","3.50","0.4","1","True","False"
"1100","训练用钳兽","感染生物","1","True","","1100_scorpn","Physical","2000","380","450","30","2.5","1.25","1.0","1","True","False"
"1116","普通囚犯","其他","2","True","哥伦比亚","1116_liprr","Physical","5500","280","60","0","2.0","1.00","1.1","1","True","False"
"1118","拳手囚犯","其他","3","True","哥伦比亚","1118_lidbox","Physical","8000","300","300","0","1.2","0.60","1.6","1","True","False"
